Name,Lat,Lon,zip_code,ATM_Split
Wells Fargo Bank,37.7579097,-77.471018,23005,Bank
SunTrust,37.6782162,-77.586356,23059,Bank
Wells Fargo Bank,37.6674046,-77.460081,23059,Bank
ATM (East Coast),37.6431651,-77.564741,23060,Non-Bank
ATM Partners Financia,37.6517287,-77.46041,23060,Non-Bank
"ATM USA, LLC",37.6431651,-77.564741,23060,Non-Bank
BB&T ATM,37.6447261,-77.568981,23060,Bank
Capital One Bank,37.6650003,-77.566974,23060,Bank
Cardtronics ATM,37.6421526,-77.560612,23060,Non-Bank
Cardtronics ATM,37.6519951,-77.610965,23060,Non-Bank
Cardtronics ATM,37.6520519,-77.605303,23060,Non-Bank
Carrollton Bank,37.652332,-77.608572,23060,Non-Bank
Partners Financial Federal Credit Union,37.6517268,-77.460464,23060,Bank
"Payment Alliance International, Inc.",37.6417768,-77.57092,23060,Non-Bank
Wells Fargo Bank,37.6421566,-77.565371,23060,Bank
Woodforest National Bank,37.6522152,-77.608736,23060,Bank
Wells Fargo Bank,37.6877047,-77.885028,23063,Bank
Access to Money,37.5981979,-77.349281,23111,Non-Bank
American Express,37.597465,-77.340712,23111,Bank
ATM (7-Eleven),37.6035207,-77.372356,23111,Non-Bank
Cardtronics ATM,37.6035445,-77.355475,23111,Non-Bank
SunTrust,37.6039175,-77.372875,23111,Bank
Village Bank (Mechanicsville),37.6026392,-77.373338,23111,Bank
Virginia Credit Union,37.6152623,-77.320919,23111,Bank
Wells Fargo Bank,37.6111246,-77.341745,23111,Bank
Access to Money/ABS (Cash-Management),37.449494,-77.650539,23112,Non-Bank
ATM (Brander Mill Shell),37.4506179,-77.65152,23112,Non-Bank
ATM (Lucky's Woodlake),37.4072712,-77.68261,23112,Non-Bank
Bank of America ATM,37.4493747,-77.649781,23112,Bank
BP,37.4072699,-77.682599,23112,Non-Bank
BP,37.4493289,-77.649706,23112,Non-Bank
Call Federal Credit Union,37.4384896,-77.58855,23112,Bank
Cardtronics ATM,37.4497907,-77.646548,23112,Non-Bank
Cardtronics ATM,37.4056222,-77.667165,23112,Non-Bank
Carrollton Bank,37.4316624,-77.621313,23112,Bank
Lucky's Woodlake,37.4072712,-77.68261,23112,Non-Bank
"Payment Alliance International, Inc.",37.4364122,-77.606086,23112,Non-Bank
Shell,37.4495674,-77.650647,23112,Non-Bank
Wells Fargo Bank,37.4189174,-77.639812,23112,Bank
BP,37.5060809,-77.660823,23113,Non-Bank
C&F Bank,37.5110515,-77.615172,23113,Bank
Cardtronics ATM,37.5114683,-77.692218,23113,Non-Bank
Wells Fargo Bank,37.5137991,-77.695755,23113,Bank
ATM,37.4667786,-77.659267,23114,Non-Bank
Cardtronics ATM,37.6519346,-77.402237,23116,Non-Bank
Access to Money,37.395671,-77.780001,23120,Non-Bank
Atlantic Union Bank,37.516113,-77.790677,23139,Bank
BP,37.5153047,-77.79394,23139,Non-Bank
BP,37.5153047,-77.79394,23139,Non-Bank
Village Bank (Powhatan),37.5151815,-77.792363,23139,Bank
Wells Fargo Bank,37.5434204,-77.919655,23139,Bank
Atlantic Union Bank,37.5358745,-77.435657,23219,Bank
ATM (Bank of America),37.5363742,-77.43481,23219,Bank
Federal Reserve Bank of Richmond,37.5355178,-77.440677,23219,Bank
"Payment Alliance International, Inc.",37.5331118,-77.431381,23219,Non-Bank
SunTrust,37.5422901,-77.438285,23219,Bank
Wells Fargo Bank,37.5361147,-77.435747,23219,Bank
ATM,37.5570727,-77.486035,23221,Non-Bank
ATM Express,37.5846588,-77.440848,23222,Non-Bank
Citibank ATM,37.584501,-77.434929,23222,Bank
"Payment Alliance International, Inc.",37.5846588,-77.440848,23222,Non-Bank
Access to Money,37.5464955,-77.3633,23223,Non-Bank
ATM (Fairfield BP),37.5464955,-77.3633,23223,Non-Bank
ATM (Samina Inc),37.5537813,-77.410892,23223,Non-Bank
ATM Express,37.5525954,-77.411945,23223,Non-Bank
BP,37.546549,-77.363214,23223,Bank
Cardtronics ATM,37.5442607,-77.37087,23223,Non-Bank
ecoATM,37.5444989,-77.363992,23223,Non-Bank
"Payment Alliance International, Inc.",37.552888,-77.390292,23223,Non-Bank
Shell,37.5539829,-77.411661,23223,Non-Bank
SunTrust,37.5317148,-77.418457,23223,Bank
Wells Fargo ATM,37.5449782,-77.366261,23223,Bank
SunTrust Mortgage,37.5267463,-77.448415,23224,Bank
Wells Fargo Bank,37.504468,-77.475712,23224,Bank
Access to Money,37.5229168,-77.491034,23225,Non-Bank
Access to Money/ABS (Non-Cash Management,37.507471,-77.49244,23225,Non-Bank
ATM (Bank of America),37.5210054,-77.486648,23225,Bank
ATM Express,37.506848,-77.49917,23225,Non-Bank
Cardtronics,37.5218126,-77.489017,23225,Non-Bank
Cardtronics ATM,37.5205496,-77.488077,23225,Non-Bank
"Payment Alliance International, Inc.",37.5348443,-77.537825,23225,Non-Bank
SunTrust,37.5203776,-77.487095,23225,Bank
Tritec ATM,37.5047978,-77.503214,23225,Non-Bank
Wells Fargo Bank,37.5156735,-77.523741,23225,Bank
Wells Fargo Bank,37.5726329,-77.518907,23226,Bank
BB&T,37.5976371,-77.462022,23227,Bank
Access to Money/ABS (Cash-Management),37.6177882,-77.496859,23228,Non-Bank
Wells Fargo Bank,37.6076782,-77.564132,23229,Bank
Associated Greyhound Employees,37.5718738,-77.4657,23230,Non-Bank
ATM,37.5837165,-77.49234,23230,Non-Bank
Capital One ATM,37.5862266,-77.500847,23230,Bank
Goldys,37.57358,-77.483014,23230,Non-Bank
Wells Fargo Bank,37.5815041,-77.493766,23230,Bank
PNC Bank ATM,37.5245161,-77.328944,23231,Bank
ATM,37.560666,-77.445796,23232,Non-Bank
ATM (Bank of America),37.6523015,-77.619337,23233,Bank
ATM (Gaskins & Broad BP),37.642932,-77.568927,23233,Non-Bank
ATM (Ridgefield Exxon),37.6202597,-77.611389,23233,Non-Bank
ATM (Suntrust Bank),37.6510341,-77.612728,23233,Bank
ATM (Uppy's),37.6389179,-77.631821,23233,Non-Bank
ATM Express,37.6428408,-77.568994,23233,Non-Bank
ATM Express,37.654897,-77.62287,23233,Non-Bank
BB&T ATM,37.6535427,-77.619479,23233,Bank
BP,37.6429312,-77.568966,23233,Non-Bank
C&F Bank,37.6448779,-77.62779,23233,Bank
Call Federal Credit Union,37.639891,-77.569713,23233,Bank
Capital One ATM,37.6561411,-77.619383,23233,Bank
EcoATM,37.6530702,-77.625332,23233,Non-Bank
"Efmark Deployment 1, Inc.",37.651963,-77.612558,23233,Non-Bank
First Citizens Bank,37.6560855,-77.625788,23233,Bank
"Payment Alliance International, Inc.",37.651621,-77.616694,23233,Non-Bank
Shell,37.641702,-77.570945,23233,Bank
SunTrust,37.651043,-77.612643,23233,Bank
Virginia Credit Union,37.6506717,-77.622315,23233,Bank
Wells Fargo Bank,37.6203991,-77.625011,23233,Bank
BP,37.4772131,-77.443731,23234,Non-Bank
Call Federal Credit Union,37.4631046,-77.428268,23234,Bank
ATM (Atlantic Specialty Lines Inc),37.5541685,-77.569024,23235,Non-Bank
ATM (Street Corner),37.5084585,-77.609682,23235,Non-Bank
Cardtronics,37.5034829,-77.604646,23235,Non-Bank
Cardtronics ATM,37.50933,-77.598565,23235,Non-Bank
Wells Fargo Bank,37.4468951,-77.572891,23236,Bank
Access to Money,37.5971379,-77.606578,23238,Non-Bank
Bank of Virginia,37.596231,-77.603868,23238,Bank
Patterson BP,37.5970021,-77.605156,23238,Non-Bank
ATM (Broad & Pemberton Exxon),37.6402329,-77.56058,23294,Non-Bank
ATM Henrico Fcu,37.6384107,-77.556495,23294,Bank
Citibank ATM,37.6402722,-77.558352,23294,Bank
Henrico Federal Credit Union,37.6384347,-77.556492,23294,Bank
Virginia Credit Union,37.64012,-77.557642,23294,Bank
Wells Fargo Bank,37.5407618,-77.430817,23298,Bank
Bank of America ATM,37.2364644,-77.419876,23806,Bank
ATM Argent Federal Cu,37.3569809,-77.445593,23831,Bank
Bank of America ATM,37.3538035,-77.413954,23831,Bank
Bank of Virginia,37.3572625,-77.441577,23831,Bank
Cardtronics ATM,37.3567921,-77.446262,23831,Non-Bank
Faison Financial of Virginia,37.3593452,-77.434115,23831,Bank
"Nationallink, Inc.",37.3561651,-77.446779,23831,Non-Bank
SunTrust,37.352934,-77.411922,23831,Bank
Village Bank (Chester),37.35622,-77.445489,23831,Bank
Wells Fargo Bank,37.355407,-77.448418,23831,Bank
Partners Financial Federal Credit Union,37.4031201,-77.690211,23832,Bank
Virginia Credit Union,37.4032813,-77.672491,23832,Bank
ATM (Uppy's),37.2897716,-77.597083,23838,Non-Bank
Cardtronics ATM,37.354418,-77.595755,23838,Non-Bank
Uppy's,37.2896301,-77.596916,23838,Non-Bank
ATM (Petrol Midget Mart),37.29124,-77.292579,23860,Non-Bank
SunTrust,37.3028783,-77.287483,23860,Bank
