index,Zipcode,Population,White Population,Black Population,Hispanic Population,Asian Population,Median Age,Employment Rate,Unemployment Rate,Household Income,Per Capita Income,Avg Rent,Avg Rent & Utilities,Median Home Value,Avg Monthly Cost of Home,No HSch Ed,HSch/GED,Associate College,Bachelors,Masters,Professional,Doctorate,Poverty Count,Poverty Rate,White Poverty,Black Poverty,Hispanic Poverty,Asian Poverty
7025,23005,16337.0,12962.0,2555.0,786.0,201.0,37.8,52.40252188284263,29.534186203097264,67809.0,33766.0,834.0,985.0,249900.0,1667.0,111.0,2842,868.0,2366.0,911.0,171.0,268.0,1665.0,10.191589643141336,1287.0,268.0,304.0,55.0
7047,23059,34031.0,23175.0,3230.0,1277.0,6288.0,41.0,53.05162939672651,22.867385618994447,104878.0,50979.0,1295.0,1408.0,394400.0,2178.0,170.0,3067,1489.0,7550.0,4350.0,1304.0,843.0,1044.0,3.067791131615292,655.0,249.0,25.0,124.0
7048,23060,37381.0,23419.0,7305.0,1857.0,4823.0,37.8,58.48693186378107,20.686980016585967,83802.0,39302.0,1081.0,1219.0,258200.0,1593.0,269.0,4683,1569.0,7825.0,3579.0,749.0,337.0,1737.0,4.646745672935449,1038.0,486.0,83.0,144.0
7051,23063,4466.0,2735.0,1618.0,112.0,3.0,44.0,51.724137931034484,33.116883116883116,65844.0,31216.0,786.0,1094.0,189300.0,1313.0,32.0,1212,264.0,457.0,147.0,47.0,34.0,217.0,4.858934169278997,98.0,119.0,0.0,0.0
7077,23111,37417.0,32378.0,3276.0,903.0,555.0,42.5,55.62177619798487,24.579736483416628,76342.0,35027.0,989.0,1147.0,232100.0,1548.0,66.0,7786,2222.0,6136.0,1771.0,264.0,246.0,2134.0,5.703289948419168,1559.0,389.0,106.0,62.0
7078,23112,52485.0,39619.0,8325.0,2509.0,1855.0,37.7,55.62922739830428,21.604267886062683,89485.0,38198.0,1130.0,1312.0,237900.0,1572.0,214.0,6018,2895.0,11002.0,4822.0,586.0,824.0,1713.0,3.2637896541869105,885.0,648.0,48.0,19.0
7079,23113,25195.0,21364.0,1758.0,965.0,1466.0,45.5,49.35106171859496,29.069259773764635,103683.0,57212.0,1161.0,1304.0,425000.0,2281.0,87.0,2001,885.0,6562.0,3026.0,973.0,535.0,1068.0,4.238936296884303,844.0,81.0,76.0,124.0
7080,23114,18503.0,14790.0,1826.0,451.0,1355.0,39.2,54.51007944657623,22.331513808571582,100047.0,42815.0,1341.0,1466.0,287500.0,1742.0,68.0,1885,879.0,3889.0,2048.0,405.0,200.0,763.0,4.12365562341242,342.0,91.0,11.0,305.0
7082,23116,29005.0,26448.0,1586.0,792.0,487.0,42.4,53.86312704706085,24.12342699534563,102376.0,40766.0,1067.0,1234.0,301400.0,1873.0,115.0,3804,1438.0,6077.0,2621.0,599.0,395.0,1079.0,3.7200482675400792,935.0,142.0,0.0,2.0
7085,23120,8948.0,7770.0,568.0,245.0,273.0,35.4,52.749217702279836,17.333482342422887,132347.0,48088.0,743.0,950.0,374800.0,2318.0,14.0,659,450.0,2151.0,898.0,206.0,57.0,143.0,1.5981224854716138,122.0,21.0,0.0,0.0
7094,23139,24214.0,21801.0,1866.0,448.0,54.0,44.6,52.47790534401586,30.643429420996117,78730.0,35125.0,783.0,970.0,255800.0,1502.0,64.0,5147,1512.0,3515.0,1152.0,174.0,72.0,1406.0,5.806558189477162,1272.0,93.0,7.0,0.0
7118,23219,4138.0,1675.0,1892.0,188.0,363.0,29.4,53.26244562590624,41.855969067182215,30917.0,30822.0,898.0,953.0,324300.0,2530.0,97.0,419,174.0,763.0,320.0,205.0,42.0,1356.0,32.76945384243596,442.0,784.0,93.0,81.0
7120,23221,15354.0,13136.0,1428.0,347.0,340.0,33.9,67.389605314576,20.58095610264426,69316.0,55356.0,959.0,1104.0,370100.0,2162.0,19.0,1184,286.0,4960.0,2386.0,919.0,464.0,1266.0,8.245408362641657,974.0,217.0,13.0,35.0
7121,23222,25308.0,3350.0,20838.0,377.0,216.0,38.7,48.3760075865339,32.254623044096725,35086.0,21097.0,713.0,936.0,125900.0,1212.0,330.0,5239,980.0,2159.0,876.0,44.0,154.0,6769.0,26.746483325430695,532.0,5977.0,77.0,69.0
7122,23223,51888.0,9009.0,40165.0,860.0,626.0,34.2,50.05781683626272,30.15340733888375,38431.0,24850.0,743.0,917.0,149800.0,1305.0,489.0,9963,2259.0,5603.0,2276.0,492.0,295.0,13754.0,26.50709219858156,1550.0,11451.0,482.0,80.0
7123,23224,39066.0,10125.0,25859.0,6069.0,372.0,33.0,51.65105206573491,24.988481032099525,34186.0,17522.0,704.0,877.0,111500.0,1089.0,692.0,8960,1683.0,2490.0,587.0,158.0,60.0,11713.0,29.982593559617058,2445.0,8291.0,1707.0,42.0
7124,23225,42366.0,19467.0,19101.0,3588.0,717.0,37.2,56.25973658122079,25.669168672992495,45240.0,28638.0,800.0,936.0,202200.0,1416.0,666.0,7862,2253.0,6567.0,3016.0,676.0,593.0,7294.0,17.216635981683424,1881.0,4810.0,760.0,87.0
7125,23226,15800.0,13804.0,1052.0,718.0,588.0,38.7,58.734177215189874,24.31645569620253,84780.0,61410.0,1080.0,1303.0,331000.0,1868.0,48.0,1264,479.0,4606.0,2237.0,936.0,274.0,1067.0,6.753164556962025,842.0,168.0,228.0,35.0
7126,23227,25829.0,11138.0,12666.0,693.0,491.0,42.5,53.50574935150412,29.31975686244144,49603.0,35237.0,716.0,838.0,227500.0,1619.0,168.0,4178,1423.0,4601.0,2459.0,425.0,332.0,3863.0,14.956057145069495,939.0,2783.0,60.0,0.0
7127,23228,36423.0,22118.0,8921.0,5502.0,1594.0,35.9,59.26200477720122,21.47818685995113,51312.0,26851.0,915.0,1073.0,168100.0,1243.0,223.0,6217,2224.0,5176.0,2119.0,282.0,119.0,5140.0,14.111962221673119,2898.0,922.0,1542.0,193.0
7128,23229,35479.0,28587.0,2859.0,2486.0,2454.0,38.7,51.6869133853829,26.029482228924152,79767.0,44353.0,881.0,1044.0,303800.0,1797.0,303.0,4203,1558.0,7332.0,3603.0,1483.0,505.0,3337.0,9.405563854674597,2252.0,494.0,1125.0,106.0
7129,23230,6270.0,4383.0,1118.0,387.0,259.0,41.2,62.88676236044657,26.475279106858054,51795.0,35054.0,879.0,1013.0,186400.0,1392.0,79.0,1256,273.0,1262.0,418.0,37.0,131.0,791.0,12.615629984051036,263.0,375.0,28.0,90.0
7130,23231,37523.0,13376.0,22386.0,1012.0,193.0,39.4,53.01814886869387,26.852863577006104,54222.0,27560.0,785.0,963.0,176400.0,1409.0,407.0,8217,1873.0,3921.0,1459.0,241.0,180.0,6505.0,17.336033899208484,1212.0,5023.0,108.0,0.0
7131,23233,30680.0,23539.0,1913.0,758.0,4489.0,38.3,58.95045632333768,19.60560625814863,103404.0,50678.0,1132.0,1258.0,338100.0,1900.0,107.0,2288,889.0,9119.0,3605.0,1026.0,610.0,1312.0,4.276401564537157,904.0,158.0,173.0,143.0
7132,23234,44319.0,16694.0,21889.0,9564.0,1045.0,34.4,54.13930819738712,23.84079063155757,46861.0,23345.0,811.0,971.0,158800.0,1219.0,573.0,9605,2101.0,2986.0,1358.0,302.0,147.0,8666.0,19.553690290845914,3985.0,3429.0,2742.0,128.0
7133,23235,31936.0,22467.0,6330.0,2368.0,922.0,43.2,55.67384769539078,27.345315631262526,73930.0,37789.0,1073.0,1247.0,220000.0,1495.0,240.0,4478,1734.0,5921.0,3314.0,672.0,522.0,1915.0,5.996367735470942,1387.0,240.0,487.0,0.0
7134,23236,26534.0,18588.0,5481.0,1805.0,1106.0,41.7,54.45089319363835,26.43400919574885,76572.0,35689.0,1061.0,1213.0,208200.0,1445.0,174.0,4749,1727.0,4384.0,2081.0,316.0,279.0,1860.0,7.0098741237657345,1120.0,459.0,420.0,40.0
7136,23238,26133.0,20676.0,3180.0,1369.0,1186.0,44.4,54.884628630467226,27.448054184364597,74856.0,46132.0,982.0,1123.0,288000.0,1725.0,71.0,2968,1158.0,6049.0,2859.0,810.0,518.0,1943.0,7.4350438143343665,1220.0,395.0,375.0,76.0
7138,23294,17848.0,10152.0,3058.0,1107.0,3603.0,32.0,57.401389511429855,21.571044374719857,55667.0,28965.0,1003.0,1136.0,197700.0,1433.0,237.0,2495,954.0,3091.0,1315.0,319.0,146.0,1834.0,10.275661138502914,1018.0,414.0,407.0,192.0
7259,23806,1788.0,36.0,1726.0,35.0,0.0,19.4,45.19015659955257,54.80984340044743,-666666666.0,2952.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7266,23831,36682.0,24524.0,9231.0,2708.0,830.0,38.4,52.74248950438908,25.772858622757756,73966.0,31454.0,1025.0,1189.0,221300.0,1490.0,130.0,6250,2776.0,4673.0,2882.0,305.0,241.0,2226.0,6.068371408320157,1078.0,776.0,150.0,7.0
7267,23832,35523.0,24222.0,8631.0,3548.0,1089.0,37.2,55.45984291867241,23.17371843594291,84134.0,32835.0,1038.0,1321.0,211400.0,1535.0,218.0,6461,2161.0,5442.0,2053.0,271.0,397.0,2370.0,6.671733806266363,1651.0,313.0,657.0,157.0
7272,23838,16426.0,13877.0,1972.0,245.0,110.0,45.2,55.162547181297946,24.15073663703884,112024.0,44003.0,1083.0,1236.0,323500.0,1949.0,68.0,2438,984.0,2770.0,1220.0,337.0,190.0,886.0,5.393887738950444,789.0,74.0,0.0,2.0
7286,23860,30983.0,15814.0,12624.0,2224.0,425.0,37.8,43.29148242584643,38.03053287286576,43016.0,22984.0,660.0,841.0,137000.0,1070.0,340.0,8028,1726.0,2327.0,842.0,155.0,130.0,5361.0,17.303037149404513,2310.0,2625.0,388.0,43.0
